featIdx,bin,cosNum_f32,cosNum_f64,cosNum_abs_residual,cosDen_f32,cosDen_f64,cosDen_abs_residual,gain_f32,gain_f64,gain_abs_residual
0,76,170.2859192,170.28593070606,1.151661e-05,169.1351776,169.135186281375,8.669070e-06,13.09368134,13.0936818521842,5.167350e-07
0,77,171.6821899,171.682192875972,2.934566e-06,170.5090637,170.509074629449,1.090875e-05,13.14775181,13.1477519859795,1.778130e-07
0,78,173.7496185,173.74962555591,7.025636e-06,172.5518188,172.55182475142,5.903764e-06,13.22708416,13.227083621078,5.387731e-07
0,79,174.3282623,174.328276980331,1.465123e-05,173.1046143,173.104637233129,2.297532e-05,13.24992752,13.2499270328493,4.879027e-07
0,80,174.755188,174.755197456347,9.468065e-06,173.508667,173.508677344327,1.035214e-05,13.26690102,13.2669014020415,3.858061e-07
0,81,176.0381012,176.038100781686,4.146027e-07,174.7636566,174.763660041658,3.425447e-06,13.3162241,13.3162245103955,4.121899e-07
0,82,176.9321899,176.93219743466,7.493254e-06,175.6295013,175.629507481484,6.138710e-06,13.35082531,13.350825808902,4.991485e-07
0,83,178.0323334,178.03234089709,7.523066e-06,176.6997681,176.699771710502,3.644095e-06,13.39309311,13.3930937263439,6.172130e-07
0,84,178.9221954,178.922188482139,6.952432e-06,177.5627289,177.562732314462,3.432626e-06,13.42728806,13.4272876233813,4.320386e-07
0,85,179.390213,179.390218342731,5.330036e-06,178.0014038,178.00140409162,2.830267e-07,13.44581223,13.445812303154,7.781225e-08
0,86,180.0682983,180.068298360083,2.023967e-08,178.6483459,178.648364082498,1.813523e-05,13.4721756,13.4721757177535,1.196089e-07
0,87,180.9277802,180.927792145761,1.199439e-05,179.4747162,179.474723487539,7.301016e-06,13.50528049,13.5052813810815,8.863916e-07
0,88,181.9181824,181.918188738025,6.364978e-06,180.4335785,180.433580389704,1.898493e-06,13.54307938,13.5430798731611,4.969404e-07
0,89,183.7105103,183.710512129605,1.875699e-06,182.1835785,182.183597635744,1.914453e-05,13.61066628,13.6106658168072,4.582172e-07
0,90,183.4841766,183.484185377759,8.742017e-06,181.9275665,181.927580722237,1.419392e-05,13.60345936,13.6034594357047,7.748934e-08
0,91,184.0953217,184.095318590451,3.064822e-06,182.5018616,182.501868645812,7.073546e-06,13.62727737,13.6272771005325,2.737351e-07
0,92,183.5537567,183.5537525591,4.154768e-06,181.9319611,181.931956937366,4.122205e-06,13.60845375,13.6084534517991,2.988113e-07
0,93,184.463913,184.463912348179,6.156879e-07,182.8002777,182.800291307776,1.359782e-05,13.64341164,13.6434113622473,2.741052e-07
0,94,184.6311493,184.631151904433,2.612440e-06,182.9309998,182.931012275478,1.251962e-05,13.65090084,13.6509007920385,4.872082e-08
0,95,183.9838409,183.983831065462,9.876921e-06,182.2546844,182.254668049549,1.639869e-05,13.62825775,13.6282573986119,3.528530e-07
0,96,184.5704346,184.570438720103,4.149790e-06,182.8027954,182.802810693046,1.528289e-05,13.65119648,13.6511962473436,2.324537e-07
0,97,184.7780914,184.778091431066,4.018830e-10,182.9700623,182.970058365844,3.890015e-06,13.66030693,13.6603071238405,1.932985e-07
0,98,184.7175293,184.717536236313,6.939438e-06,182.8709869,182.870994097575,7.159098e-06,13.65952873,13.6595286835702,4.872962e-08
0,99,184.464386,184.464382865406,3.120922e-06,182.5807648,182.580757886127,6.884381e-06,13.65164566,13.651646075744,4.153436e-07
